gene,JC050,JC052,JC053,JC054,JC055,JC056,JC058,JC059,JC060,JC066,JC067,JC069,JC072,JC077,JC106,JC107,JC108,JC109,JC110,JC111,JC113,JC115,JC116,JC117,JC121,JC123,JC124,JC126,JC127,JC129,JC130,JC132,JC133,JC135,JC136,JC143,JC144,JC145,JC146,JC149,JC153,JC155,JC158,JC161,JC164,JC169,JC171,JC175,JC178,JC179,JC180,JC181,JC182,JC189,JC194,JC195,JC197,JC198,JC224,JC235,JC247,JC248,JC262,JC271,JC272,JC273,JC274,JC281,JC282,JC286,JC292,JC293,JC294,JC295,JC296,JC301,JC302,JC303
ADGRE1,210,188,293,171,161,109,518,478,206,284,222,231,236,569,4677,2240,1690,1529,424,1678,4030,3839,681,940,1884,517,652,830,1054,2108,524,1580,1012,3055,796,1264,1600,3347,1278,1276,3320,1064,2483,2021,1508,3500,1438,2319,4004,3357,5249,2396,1834,2246,1269,4902,2857,2462,328,1974,388,372,62,222,651,184,409,166,384,398,738,4353,1650,723,1463,484,646,296
CD68,2,8,2,7,3,1,1,1,1,4,0,0,1,1,3,1,0,3,2,0,0,0,0,0,2,0,4,4,1,0,2,0,2,1,0,2,1,1,3,0,0,1,0,2,3,3,0,1,0,0,1,2,5,0,2,6,2,3,6,0,0,0,1,0,0,0,2,4,3,4,0,0,0,0,1,1,1,2
CSF1R,1289,1316,1385,1107,1333,518,4438,2640,1745,1537,1356,1861,2970,2910,8206,5851,3359,4452,2541,3114,7901,5230,5040,2913,5830,8913,2673,3145,8140,6532,1337,6334,3606,4125,1545,2351,4552,5955,4246,3159,2870,2827,2624,5443,4541,4385,1510,4063,3175,4372,6152,4780,1884,3826,3464,8225,3004,2685,1175,6233,871,707,279,1453,1963,653,1284,990,1219,1993,1287,10546,2918,2952,1706,1457,2230,878
CD14,423,1289,1255,863,905,382,1410,1010,729,984,906,1400,1643,1188,12449,5014,10867,5347,2800,3917,13771,4983,11485,4392,12187,15079,2820,5391,9529,5633,3006,9259,2887,6103,2399,1648,4473,6942,5475,3741,2614,1529,1326,3271,3571,4729,894,4602,1954,2452,6100,5440,1757,3051,4353,5117,1828,2178,1439,6506,621,640,312,911,1738,684,1121,690,766,928,1377,8657,3352,3157,1308,1156,2014,340
ITGAM,526,709,600,576,585,285,1939,970,415,782,727,789,1007,1271,3142,2330,3477,1915,1038,1154,6273,2214,3380,1367,7831,5976,1391,3219,2517,4003,939,2852,1822,1852,960,1399,1498,2514,2026,1523,1723,984,1201,1976,1635,3189,449,1734,1565,2259,2687,1962,1168,1969,2271,3349,908,1066,812,2988,813,660,303,832,1084,473,768,544,911,758,470,5478,1767,2842,693,736,946,588
CD33,252,276,196,106,284,166,522,335,138,108,166,154,286,353,393,470,244,290,180,185,740,512,344,84,770,784,251,325,512,627,114,655,289,206,204,254,236,539,290,296,328,241,356,358,518,455,73,318,283,316,587,438,195,300,413,1171,126,214,134,839,111,124,83,186,295,103,240,84,123,150,76,816,309,181,108,283,359,103
FCGR1A,99,121,138,199,113,90,127,56,32,79,97,43,53,215,4517,5670,3572,4765,2449,1407,23780,3494,42368,9707,5552,36690,1532,2802,9175,3030,1531,10985,854,3168,5088,325,5951,5622,9658,4624,3119,798,1664,1174,2045,1012,168,1824,309,525,2862,5306,264,634,635,1489,232,134,206,1521,51,45,43,111,40,64,56,51,99,57,1031,1593,1169,3736,1073,106,202,79
MSR1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1QA,520,1877,1483,743,1734,1071,1678,1014,801,727,1125,1170,1640,1016,17915,15565,6071,10922,3428,3097,47315,8783,74138,8323,25492,84671,11031,15374,34087,17221,3388,24628,6163,7910,9618,2279,11770,14198,21902,18771,7712,4635,5440,7346,7973,6807,1268,7605,2583,6237,16281,14644,3415,6121,7980,11447,1767,2556,1591,8307,1914,1661,1347,3513,3778,1321,2901,1611,2231,839,1506,18455,6915,3423,1548,4945,4225,599
C1QB,335,1024,905,539,952,641,1208,664,490,365,648,830,1174,688,13275,13385,10297,7920,3273,2390,40123,5926,38699,3897,18745,64421,9806,16340,28277,12280,2021,18030,5067,6144,4681,2389,8978,11296,19236,12012,5222,3686,2535,4704,5371,5016,851,4659,1174,3047,9953,8212,1692,4780,8049,10688,1299,1806,1338,10633,222,258,182,1462,580,279,522,462,536,204,1255,7867,4393,1583,1432,1129,1382,192
C1QC,156,438,514,349,571,238,598,363,242,302,317,354,511,461,6220,5796,4239,4035,1579,1733,11802,4053,12661,2016,6291,19092,2732,4801,8806,4219,735,5581,1753,2568,1743,1725,3813,4162,6424,5103,2840,1794,1617,2022,2031,1794,427,2303,720,1558,4225,3271,885,2436,3363,3902,930,1046,592,5415,280,249,149,945,674,283,548,420,444,298,881,5331,2236,1225,749,918,1009,248
CD80,118,125,44,73,72,48,115,74,57,62,46,76,73,159,208,294,213,328,91,162,1871,131,1009,187,361,1009,254,208,496,294,166,491,273,123,244,157,263,524,607,285,468,134,124,159,411,198,38,408,93,63,478,240,90,153,364,519,90,36,58,564,84,43,54,136,70,53,55,71,64,67,224,392,348,103,444,32,115,34
CD86,334,543,326,271,449,230,946,523,311,213,348,526,577,849,2466,1594,2729,1406,927,493,8342,1428,6727,1263,3658,5630,1068,2142,3217,2268,950,2543,1112,1318,1560,426,1452,2045,1958,1564,1150,648,715,1056,1701,1270,186,1625,625,986,2751,1487,588,765,1227,2699,420,387,345,1851,310,323,254,626,661,338,649,252,524,335,495,1737,792,887,507,583,774,217
